id,name,type,age,committee,representation,position
TH,Thomas Hitzlsperger,0,38,V,"Sport, Unternehmensstrategie und Kommunikation",Vorsitz
SH,Stefan Heim,0,50,V,"Finanzen, Verwaltung und Operations",Mitglied
JR,Jochen Röttgermann,0,54,V,Marketing und Vertrieb,Mitglied
OS,Oliver Schraft,0,53,V,Kommunikation des Vereins und der Tochterunternehmen,Mitglied
CV,Claus Vogt,0,51,A,Präsident,Vorsitz
WP,Wilfried Porth,0,62,A,Stellvertretender Vorsitzender,Stellvertreter
RA,Rainer Adrion,0,67,A,Sport,Mitglied
BG,Bernd Gaiser,0,59,A,,Mitglied
HJ,Hartmut Jenner,0,55,A,,Stellvertreter
HO,Hermann Ohlicher,0,71,A,,Mitglied
FR,Franz Reiner,0,53,A,,Mitglied
BS,Bertram Sugg,0,55,A,,Mitglied
DAF,Deutsche Akademie für Fußballkultur,1,,,,
WFV,Württembergischer Fußballverband,1,,,,
VSD,Verband für Sportökonomie und Sportmanagement in Deutschland,1,,,,
RW,VfB Reha-Welt GmbH,1,,,,
SNP,Stadion NeckarPark GmbH & Co. KG,1,,,,
AB,VfB Stuttgart Arena Betriebs GmbH,1,,,,
MA,VfB Stuttgart Marketing GmbH,1,,,,
BE,VfB Stuttgart Beteiligungs-GmbH,1,,,,
KC,„Kommission Clubmedien“ der Deutschen Fußball Liga,1,,,,
PF,FC PlayFair! Verein für Integrität im Profifußball e.V.,1,,,,
IG,Intesia Group Holding GmbH,1,,,,
DA,Daimler AG,1,,,,
DF,Daimler Financial Services AG,1,,,,
DU,Daimler Unterstützungskasse GmbH,1,,,,
SW,Südwestmetall,1,,,,
HI,11hilft e.V.,1,,,,
HP,Horváth & Partners Management Consultants,1,,,,
DB,Deutsche Beteiligungs AG,1,,,,
BHZ,BHZ Stuttgart,1,,,,
BM,Bernd Gaiser Management Consulting,1,,,,
AK,Alfred Kärcher SE & Co. KG,1,,,,
AKF,Alfred-Kärcher-Förderstiftung,1,,,,
DM,Daimler Mobility AG,1,,,,
RB,Robert Bosch GmbH,1,,,,
FC,Fanclub Courage Gerlingen,1,,,,
