id,name,type,age,committee,representation,position
TH,Thomas Hitzlsperger,0,38,V,"Sport, Unternehmensstrategie und Kommunikation",Vorsitz
SH,Stefan Heim,0,50,V,"Finanzen, Verwaltung und Operations",Mitglied
JR,Jochen Roettgermann,0,54,V,Marketing und Vertrieb,Mitglied
OS,Oliver Schraft,0,53,V,Kommunikation des Vereins und der Tochterunternehmen,Mitglied
CV,Claus Vogt,0,51,A,Präsident,Vorsitz
WP,Wilfried Porth,0,62,A,Stellvertretender Vorsitzender,Stellvertreter
RA,Rainer Adrion,0,67,A,Sport,Mitglied
BG,Bernd Gaiser,0,59,A,NA,Mitglied
HJ,Hartmut Jenner,0,55,A,NA,Stellvertreter
HO,Hermann Ohlicher,0,71,A,NA,Mitglied
FR,Franz Reiner,0,53,A,NA,Mitglied
BS,Bertram Sugg,0,55,A,NA,Mitglied
DAF,Deutsche Akademie fuer Fussballkultur,1,NA,NA,NA,NA
WFV,Wuerttembergischer Fussballverband,1,NA,NA,NA,NA
VSD,Verband fuer Sportoekonomie und Sportmanagement,1,NA,NA,NA,NA
RW,VfB Reha-Welt GmbH,1,NA,NA,NA,NA
SNP,Stadion NeckarPark GmbH & Co. KG,1,NA,NA,NA,NA
AB,VfB Stuttgart Arena Betriebs GmbH,1,NA,NA,NA,NA
MA,VfB Stuttgart Marketing GmbH,1,NA,NA,NA,NA
BE,VfB Stuttgart Beteiligungs-GmbH,1,NA,NA,NA,NA
KC,Kommission Clubmedien der DFL,1,NA,NA,NA,NA
PF,FC PlayFair! Verein fuer Integritaet im Profifussball e.V.,1,NA,NA,NA,NA
IG,Intesia Group Holding GmbH,1,NA,NA,NA,NA
DA,Daimler AG,1,NA,NA,NA,NA
DF,Daimler Financial Services AG,1,NA,NA,NA,NA
DU,Daimler Unterstuetzungskasse GmbH,1,NA,NA,NA,NA
SW,Suedwestmetall,1,NA,NA,NA,NA
HI,11hilft e.V.,1,NA,NA,NA,NA
HP,Horvath & Partners ,1,NA,NA,NA,NA
DB,Deutsche Beteiligungs AG,1,NA,NA,NA,NA
BHZ,BHZ Stuttgart,1,NA,NA,NA,NA
BM,Bernd Gaiser Management Consulting,1,NA,NA,NA,NA
AK,Alfred Kaercher SE & Co. KG,1,NA,NA,NA,NA
AKF,Alfred-Kaercher-Foerderstiftung,1,NA,NA,NA,NA
DM,Daimler Mobility AG,1,NA,NA,NA,NA
RB,Robert Bosch GmbH,1,NA,NA,NA,NA
FC,Fanclub Courage Gerlingen,1,NA,NA,NA,NA
VFB,VfB Stuttgart 1893 e.V.,1,NA,NA,NA,NA
